feedback_id,user_id,rating,feature_name,comments,session_id
F000001,U00002,5,Automation,Would love to see more customization options.,S000003
F000002,U00002,5,Dashboard,"Great overall, but the insights could be more actionable.",S000004
F000003,U00005,2,Automation,Would love to see more customization options.,S000015
F000004,U00005,4,Automation,"Mobile experience is fantastic, thanks!",S000016
F000005,U00005,3,Dashboard,"App crashed once while editing settings, but recovered quickly.",S000017
F000006,U00006,4,Integrations,Notifications feel noisy—maybe add batching?,S000018
F000007,U00007,3,Integrations,The new automation routine is a game changer.,S000021
F000008,U00009,4,Dashboard,Ran into a few slowdowns during peak hours.,S000028
F000009,U00010,2,Dashboard,The new automation routine is a game changer.,S000030
F000010,U00012,5,Automation,"Great overall, but the insights could be more actionable.",S000035
F000011,U00012,2,Automation,Ran into a few slowdowns during peak hours.,S000037
F000012,U00012,1,Integrations,"App crashed once while editing settings, but recovered quickly.",S000038
F000013,U00015,3,Insights,"Mobile experience is fantastic, thanks!",S000044
F000014,U00017,5,Notifications,"Great overall, but the insights could be more actionable.",S000050
F000015,U00017,5,Settings,"Mobile experience is fantastic, thanks!",S000051
F000016,U00019,5,Settings,Ran into a few slowdowns during peak hours.,S000053
F000017,U00019,2,Notifications,Collaboration tools could integrate better with Slack.,S000054
F000018,U00019,3,Settings,"Great overall, but the insights could be more actionable.",S000055
F000019,U00019,4,Integrations,Notifications feel noisy—maybe add batching?,S000057
F000020,U00020,4,Collaboration,"Super intuitive flow, helped me finish tasks faster.",S000059
F000021,U00021,5,Collaboration,Would love to see more customization options.,S000061
F000022,U00022,2,Settings,Reporting export worked flawlessly for my client update.,S000069
F000023,U00024,4,Notifications,The new automation routine is a game changer.,S000077
F000024,U00025,5,Dashboard,Ran into a few slowdowns during peak hours.,S000079
F000025,U00025,5,Dashboard,"Super intuitive flow, helped me finish tasks faster.",S000081
F000026,U00026,3,Integrations,"Super intuitive flow, helped me finish tasks faster.",S000085
F000027,U00029,4,Settings,"App crashed once while editing settings, but recovered quickly.",S000092
F000028,U00030,2,Insights,"Mobile experience is fantastic, thanks!",S000093
F000029,U00032,5,Insights,Reporting export worked flawlessly for my client update.,S000099
F000030,U00033,5,Automation,Reporting export worked flawlessly for my client update.,S000101
F000031,U00034,1,Notifications,"Super intuitive flow, helped me finish tasks faster.",S000111
F000032,U00036,5,Settings,Would love to see more customization options.,S000114
F000033,U00036,5,Dashboard,Reporting export worked flawlessly for my client update.,S000115
F000034,U00037,5,Settings,Would love to see more customization options.,S000119
F000035,U00038,1,Integrations,"Super intuitive flow, helped me finish tasks faster.",S000121
F000036,U00039,1,Dashboard,"App crashed once while editing settings, but recovered quickly.",S000126
F000037,U00040,2,Notifications,Collaboration tools could integrate better with Slack.,S000128
F000038,U00040,5,Settings,Notifications feel noisy—maybe add batching?,S000131
F000039,U00041,3,Dashboard,Collaboration tools could integrate better with Slack.,S000134
F000040,U00043,3,Integrations,"Super intuitive flow, helped me finish tasks faster.",S000142
F000041,U00044,3,Reporting,"Super intuitive flow, helped me finish tasks faster.",S000150
F000042,U00048,1,Automation,Reporting export worked flawlessly for my client update.,S000163
F000043,U00049,1,Automation,Would love to see more customization options.,S000166
F000044,U00049,4,Dashboard,Would love to see more customization options.,S000167
F000045,U00050,5,Integrations,Would love to see more customization options.,S000173
F000046,U00050,4,Insights,"Super intuitive flow, helped me finish tasks faster.",S000174
F000047,U00052,3,Automation,Reporting export worked flawlessly for my client update.,S000181
F000048,U00052,4,Integrations,"Great overall, but the insights could be more actionable.",S000183
F000049,U00053,2,Settings,Collaboration tools could integrate better with Slack.,S000185
F000050,U00053,2,Notifications,"Great overall, but the insights could be more actionable.",S000188
F000051,U00053,2,Integrations,"Mobile experience is fantastic, thanks!",S000189
F000052,U00055,2,Integrations,The new automation routine is a game changer.,S000196
F000053,U00055,4,Collaboration,"Super intuitive flow, helped me finish tasks faster.",S000197
F000054,U00055,1,Reporting,"Mobile experience is fantastic, thanks!",S000198
F000055,U00056,2,Collaboration,The new automation routine is a game changer.,S000201
F000056,U00056,1,Settings,Reporting export worked flawlessly for my client update.,S000202
F000057,U00056,3,Automation,"Mobile experience is fantastic, thanks!",S000203
F000058,U00057,4,Settings,"Super intuitive flow, helped me finish tasks faster.",S000204
F000059,U00057,4,Integrations,Notifications feel noisy—maybe add batching?,S000207
F000060,U00058,5,Reporting,"Mobile experience is fantastic, thanks!",S000210
F000061,U00058,1,Integrations,Notifications feel noisy—maybe add batching?,S000211
F000062,U00059,2,Notifications,Would love to see more customization options.,S000217
F000063,U00060,5,Insights,Notifications feel noisy—maybe add batching?,S000219
F000064,U00061,3,Automation,"App crashed once while editing settings, but recovered quickly.",S000221
F000065,U00064,5,Collaboration,"App crashed once while editing settings, but recovered quickly.",S000225
F000066,U00064,2,Notifications,"Mobile experience is fantastic, thanks!",S000227
F000067,U00065,2,Settings,Reporting export worked flawlessly for my client update.,S000233
F000068,U00067,2,Settings,Collaboration tools could integrate better with Slack.,S000240
F000069,U00068,4,Settings,Collaboration tools could integrate better with Slack.,S000242
F000070,U00069,2,Reporting,Collaboration tools could integrate better with Slack.,S000244
F000071,U00069,1,Notifications,Ran into a few slowdowns during peak hours.,S000246
F000072,U00069,2,Automation,"Great overall, but the insights could be more actionable.",S000247
F000073,U00070,2,Integrations,Collaboration tools could integrate better with Slack.,S000249
F000074,U00070,4,Integrations,"Great overall, but the insights could be more actionable.",S000254
F000075,U00071,2,Automation,Notifications feel noisy—maybe add batching?,S000255
F000076,U00071,3,Dashboard,"Great overall, but the insights could be more actionable.",S000257
F000077,U00071,2,Reporting,Would love to see more customization options.,S000258
F000078,U00075,4,Dashboard,Would love to see more customization options.,S000263
F000079,U00075,2,Settings,The new automation routine is a game changer.,S000265
F000080,U00075,5,Reporting,Collaboration tools could integrate better with Slack.,S000266
